City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Straumen,NO,63.8709,11.2999,39.2,88,68,3.6,broken clouds
80,Ouagadougou,BF,12.3642,-1.5383,86.13,51,20,4.61,few clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,71,20,4.61,few clouds
82,Dikson,RU,73.5069,80.5464,17.26,96,100,5.23,light snow
83,Ulladulla,AU,-35.35,150.4667,72.5,62,100,3.38,overcast clouds
84,Ponta Do Sol,PT,32.6667,-17.1,64.71,59,98,4.18,overcast clouds
85,Saldanha,ZA,-33.0117,17.9442,53.65,61,3,16.15,clear sky
86,Port Alberni,CA,49.2413,-124.8028,47.86,86,99,3.0,overcast clouds
87,Hasaki,JP,35.7333,140.8333,52.29,82,100,31.09,overcast clouds
88,Luanda,AO,-8.8368,13.2343,75.2,88,75,5.75,broken clouds
89,Coahuayana,MX,18.7333,-103.6833,75.94,72,40,3.42,scattered clouds
90,East London,ZA,-33.0153,27.9116,61.34,68,100,6.11,overcast clouds
91,Lavrentiya,RU,65.5833,-171.0,29.3,95,100,14.54,light snow
92,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,88,21,4.14,few clouds
93,Japura,ID,-0.3167,102.35,75.22,94,100,2.84,overcast clouds
94,Paiania,GR,37.9553,23.8544,59.65,60,100,1.01,overcast clouds
95,Nagornyy,RU,52.7959,83.5498,47.23,50,0,3.11,clear sky
96,Ayan,RU,56.45,138.1667,26.65,83,100,14.81,overcast clouds
97,Klaksvik,FO,62.2266,-6.589,47.32,98,100,14.52,overcast clouds
98,Ucluelet,CA,48.9329,-125.5528,48.09,76,10,3.0,clear sky
99,Nome,US,64.5011,-165.4064,35.67,70,100,26.46,overcast clouds
100,New Norfolk,AU,-42.7826,147.0587,59.67,59,100,1.01,overcast clouds
101,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,19.57,few clouds
102,Touros,BR,-5.1989,-35.4608,80.28,81,96,9.1,overcast clouds
103,Haines Junction,CA,60.7522,-137.5108,37.35,38,100,11.5,overcast clouds
104,Asau,RO,46.4333,26.4,52.95,75,91,2.64,overcast clouds
105,Rosita,NI,13.9268,-84.4032,77.58,67,100,4.27,overcast clouds
106,Atasu,KZ,48.6814,71.6433,49.6,30,17,5.55,few clouds
107,Alofi,NU,-19.0595,-169.9187,78.69,94,20,5.75,few clouds
108,Lebrija,ES,36.9208,-6.0753,64.29,58,0,1.14,clear sky
109,Georgetown,MY,5.4112,100.3354,80.53,93,20,5.01,thunderstorm
110,Bereda,ES,43.2686,-7.5406,53.42,100,11,0.67,few clouds
111,Cayenne,GF,4.9333,-52.3333,80.1,1,75,3.0,broken clouds
112,Puerto Ayora,EC,-0.7393,-90.3518,76.08,88,80,8.34,broken clouds
113,Bonavista,CA,48.6499,-53.1147,33.55,83,49,13.85,scattered clouds
114,Deputatskiy,RU,69.3,139.9,8.71,72,100,2.62,overcast clouds
115,Bara,NG,10.3744,10.7288,81.54,56,90,1.81,overcast clouds
116,Aksu,CN,41.1231,80.2644,56.21,20,71,19.71,broken clouds
117,Paamiut,GL,61.994,-49.6678,22.5,78,17,13.91,few clouds
118,Beinamar,TD,8.6698,15.3813,81.97,53,100,2.01,light rain
119,Saint George,US,37.1041,-113.5841,76.42,16,0,9.22,clear sky
120,Vaini,TO,-21.2,-175.2,84.36,70,20,10.36,few clouds
121,Elizabeth City,US,36.2946,-76.2511,59.02,53,0,3.44,clear sky
122,Severo-Kurilsk,RU,50.6789,156.125,32.14,82,99,2.42,overcast clouds
123,Chamalieres,FR,45.7756,3.0631,56.12,67,75,0.0,broken clouds
124,Novoagansk,RU,61.9449,76.6625,40.87,85,100,8.68,overcast clouds
125,Vallenar,CL,-28.5708,-70.7581,58.69,68,0,2.39,clear sky
126,Staroleushkovskaya,RU,45.9906,39.7631,42.8,97,15,5.37,few clouds
127,Cape Town,ZA,-33.9258,18.4232,59.11,66,0,17.0,clear sky
128,Cuiluan,CN,47.72,128.648,42.17,67,100,10.87,overcast clouds
129,Mogadishu,SO,2.0371,45.3438,81.03,79,93,6.51,overcast clouds
130,Oktyabrskoye,RU,43.0645,44.7417,46.54,86,96,6.71,overcast clouds
131,Sistranda,NO,63.7256,8.834,42.76,86,92,13.02,overcast clouds
132,San Pedro,PH,14.35,121.0167,85.23,72,20,4.61,few clouds
133,Kavaratti,IN,10.5669,72.642,83.32,72,93,2.53,overcast clouds
134,Kautokeino,NO,69.0125,23.0412,13.73,94,100,2.71,overcast clouds
135,Souillac,MU,-20.5167,57.5167,75.58,94,40,14.97,light rain
136,Holly Springs,US,35.6513,-78.8336,64.76,50,24,4.18,few clouds
137,Tequila,MX,20.8833,-103.8333,84.31,14,100,7.11,overcast clouds
138,Bhuj,IN,23.2667,69.6667,74.53,83,0,8.99,clear sky
139,Thompson,CA,55.7435,-97.8558,23.16,39,75,13.8,broken clouds
140,Vestmannaeyjar,IS,63.4427,-20.2734,47.14,86,28,34.14,scattered clouds
141,Taseyevo,RU,57.2169,94.8978,40.53,86,91,4.83,overcast clouds
142,Jiwani,PK,25.05,61.7417,81.1,76,57,7.96,broken clouds
143,Barrow,US,71.2906,-156.7887,6.82,72,0,28.77,clear sky
144,Lagoa,PT,39.05,-27.9833,58.89,71,100,11.92,overcast clouds
145,Springbok,ZA,-29.6643,17.8865,55.81,50,1,22.46,clear sky
146,Pangkalanbuun,ID,-2.6833,111.6167,76.23,96,100,1.92,moderate rain
147,Veracruz,MX,19.3333,-96.6667,78.28,72,33,3.44,scattered clouds
148,Quatre Cocos,MU,-20.2078,57.7625,76.08,81,86,21.43,light rain
149,Dunedin,NZ,-45.8742,170.5036,59.81,45,0,18.99,clear sky
150,Adrar,MR,20.5022,-10.0711,79.14,14,2,8.46,clear sky
151,Kapiri Mposhi,ZM,-13.9652,28.6809,62.19,99,97,4.16,light rain
152,Port Lincoln,AU,-34.7333,135.8667,71.8,63,3,8.77,clear sky
153,Dingzhou,CN,38.5131,114.9956,53.71,27,6,4.45,clear sky
154,Salym,RU,60.0625,71.4789,42.28,85,98,8.88,overcast clouds
155,Tura,IN,25.5198,90.2201,75.38,92,98,9.93,overcast clouds
156,Mbandaka,CD,0.0487,18.2603,70.52,95,97,0.56,overcast clouds
157,Vanimo,PG,-2.6741,141.3028,85.46,67,41,5.37,scattered clouds
158,Mombetsu,JP,44.3525,143.3525,37.42,75,20,5.75,few clouds
159,Concordia,AR,-31.393,-58.0209,55.78,81,0,3.8,clear sky
160,Talnakh,RU,69.4865,88.3972,23.31,94,100,10.58,light snow
161,Goya,AR,-29.14,-59.2626,54.32,84,0,5.06,clear sky
162,Erenhot,CN,43.6475,111.9767,44.58,22,8,5.61,clear sky
163,Lasa,IT,46.6166,10.7002,48.36,92,46,7.23,scattered clouds
164,Nouadhibou,MR,20.931,-17.0347,62.58,94,0,11.5,clear sky
165,Almeirim,BR,-1.5233,-52.5817,74.77,96,100,3.38,overcast clouds
166,Mayo,US,38.8876,-76.5119,65.26,44,0,16.11,clear sky
167,Nioro,GM,13.35,-15.75,78.48,38,17,7.81,few clouds
168,Chuy,UY,-33.6971,-53.4616,62.01,68,81,6.93,broken clouds
169,Candido Mendes,BR,-1.4467,-45.7167,74.39,96,100,2.71,overcast clouds
170,Praia,CV,14.9215,-23.5087,69.06,82,5,11.23,clear sky
171,Leningradskiy,RU,69.3833,178.4167,13.14,87,100,9.98,overcast clouds
172,Celina,US,40.5489,-84.5702,62.91,75,100,18.32,light rain
173,Esperance,AU,-33.8667,121.9,64.24,65,88,12.53,overcast clouds
174,Plonsk,PL,52.6235,20.3755,41.86,84,100,14.85,overcast clouds
175,Sorgun,TR,39.8101,35.186,38.79,85,0,0.49,clear sky
176,San Miguel,SV,13.4833,-88.1833,84.16,65,100,5.14,overcast clouds
177,Bridlington,GB,54.0831,-0.1919,48.88,89,100,15.12,overcast clouds
178,Visby,SE,57.6409,18.296,35.82,80,3,9.22,clear sky
179,Xinpu,CN,34.5997,119.1594,56.12,28,100,7.36,overcast clouds
180,Arklow,IE,52.7931,-6.1414,50.07,90,97,6.53,overcast clouds
181,Carnarvon,AU,-24.8667,113.6333,73.47,64,98,9.22,overcast clouds
182,Victoria,HK,22.2855,114.1577,73.18,77,95,23.0,overcast clouds
183,Tuatapere,NZ,-46.1333,167.6833,55.08,58,67,17.96,broken clouds
184,Almaznyy,RU,48.0448,40.045,45.1,91,98,7.56,overcast clouds
185,Gigmoto,PH,13.7796,124.39,83.53,65,8,4.56,clear sky
186,Saint-Francois,FR,46.4154,3.9054,52.41,92,0,2.3,clear sky
187,Santiago,CL,-33.4569,-70.6483,62.17,63,0,4.61,clear sky
188,Arawa,PG,-6.2132,155.5367,83.89,77,100,3.53,light rain
189,Jacareacanga,BR,-6.2222,-57.7528,73.15,97,100,1.14,moderate rain
190,Puerto Narino,CO,-3.7703,-70.3831,73.22,95,99,2.62,overcast clouds
191,Boa Vista,BR,2.8197,-60.6733,76.98,88,75,3.44,broken clouds
192,Dzheyrakh,RU,42.8228,44.6756,40.39,85,67,5.32,broken clouds
193,Khasan,RU,42.4308,130.6434,51.35,41,4,6.64,clear sky
194,Leopold,AU,-38.1833,144.4667,75.81,65,0,5.75,clear sky
195,College,US,64.8569,-147.8028,36.28,35,75,19.57,broken clouds
196,Saint-Augustin,CA,51.226,-58.6502,30.47,95,100,6.33,overcast clouds
197,Kruisfontein,ZA,-34.0033,24.7314,52.88,75,85,3.67,light rain
198,Korla,CN,41.7597,86.1469,47.16,12,0,4.85,clear sky
199,Ambon,ID,-3.6954,128.1814,84.34,79,20,4.61,few clouds
200,Bassila,BJ,9.0081,1.6654,69.78,90,100,11.97,moderate rain
201,Kalevala,RU,65.2,31.1667,25.34,94,22,3.31,few clouds
202,Port Elizabeth,ZA,-33.918,25.5701,58.32,78,0,4.61,clear sky
203,Rafai,CF,4.95,23.9167,68.65,97,100,2.17,overcast clouds
204,Windhoek,NA,-22.5594,17.0832,58.1,82,3,8.05,clear sky
205,Yerbogachen,RU,61.2767,108.0108,26.64,77,100,4.45,overcast clouds
206,Cidreira,BR,-30.1811,-50.2056,64.29,67,100,6.17,overcast clouds
207,Vytegra,RU,61.0064,36.4481,21.43,96,7,4.29,clear sky
208,Castro,BR,-24.7911,-50.0119,50.2,62,0,3.87,clear sky
209,Erzin,TR,36.9559,36.2,55.09,54,0,3.33,clear sky
210,Berlevag,NO,70.8578,29.0864,37.2,98,100,21.7,overcast clouds
211,Pangody,RU,65.85,74.4859,23.72,93,100,6.38,overcast clouds
212,Orcotuna,PE,-11.9667,-75.3333,47.55,85,97,3.65,overcast clouds
213,Oistins,BB,13.0667,-59.5333,78.89,78,20,19.57,few clouds
214,Pacific Grove,US,36.6177,-121.9166,64.38,70,0,9.22,clear sky
215,Ambilobe,MG,-13.2,49.05,74.57,82,21,4.72,few clouds
216,Port Hardy,CA,50.6996,-127.4199,48.38,49,75,10.36,broken clouds
217,Cabo San Lucas,MX,22.8909,-109.9124,81.7,49,100,8.99,overcast clouds
218,Masumbwe,TZ,-3.6333,32.1833,63.66,96,100,2.06,light rain
219,Ayolas,PY,-27.4,-56.9,54.45,88,0,6.69,clear sky
220,Stephenville,US,32.2207,-98.2023,87.17,47,0,12.66,clear sky
221,Komsomolskiy,UZ,40.4272,71.7189,59.72,51,3,6.91,clear sky
222,Vila Velha,BR,-20.3297,-40.2925,75.15,73,40,8.05,scattered clouds
223,Todos Santos,MX,23.45,-110.2167,70.45,74,100,4.61,overcast clouds
224,Humberto De Campos,BR,-2.5983,-43.4611,76.21,94,100,3.74,overcast clouds
225,Faanui,PF,-16.4833,-151.75,82.4,69,0,16.08,clear sky
226,Nova Odesa,UA,47.3078,31.7851,47.28,77,84,9.44,broken clouds
227,Guerrero Negro,MX,27.9769,-114.0611,62.55,67,100,16.17,overcast clouds
228,Bireun,ID,5.203,96.7009,80.26,80,100,3.71,overcast clouds
229,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,40,14.97,light rain
230,Yulara,AU,-25.2406,130.9889,84.04,24,22,8.05,few clouds
231,Seewalchen,AT,47.9525,13.5838,49.15,64,83,3.0,broken clouds
232,Nuuk,GL,64.1835,-51.7216,10.36,72,6,9.91,clear sky
233,Bandarbeyla,SO,9.4942,50.8122,82.74,70,100,5.91,overcast clouds
234,Kencong,ID,-8.2833,113.3667,81.07,80,97,1.77,overcast clouds
235,Grand-Santi,GF,4.25,-54.3833,73.09,98,100,2.44,overcast clouds
236,Rocha,UY,-34.4833,-54.3333,54.84,88,2,1.77,clear sky
237,Saskylakh,RU,71.9167,114.0833,-2.0,95,67,7.47,broken clouds
238,Skorodnoye,RU,51.071,37.2276,48.2,78,100,10.96,overcast clouds
239,Zalantun,CN,48.0,122.7167,45.75,18,7,19.48,clear sky
240,Egvekinot,RU,66.3167,-179.1667,18.73,83,100,15.03,overcast clouds
241,Anadyr,RU,64.75,177.4833,34.3,80,75,24.61,light snow
242,Teguldet,RU,57.3064,88.1667,38.44,93,100,3.56,overcast clouds
243,Khuzhir,RU,53.1939,107.3397,36.77,77,100,6.91,overcast clouds
244,Lompoc,US,34.6391,-120.4579,67.01,83,100,15.99,overcast clouds
245,Bitkine,TD,11.9801,18.2138,83.91,47,99,6.53,overcast clouds
246,Alekseyevka,RU,50.6309,38.6903,48.25,79,99,7.23,overcast clouds
247,Amahai,ID,-3.3333,128.9167,86.43,59,99,1.1,overcast clouds
248,Atar,MR,20.5169,-13.0499,75.85,17,0,1.81,clear sky
249,Aklavik,CA,68.2191,-135.0107,8.31,74,100,5.79,overcast clouds
250,Ulsteinvik,NO,62.3432,5.8487,43.07,75,55,1.99,broken clouds
251,Hamilton,US,39.1834,-84.5333,66.15,33,40,10.36,scattered clouds
252,Cavalcante,BR,-13.7975,-47.4583,69.76,89,85,0.58,overcast clouds
253,Gondanglegi,ID,-7.7479,112.0132,82.26,75,19,5.99,few clouds
254,Maralal,KE,1.0968,36.698,59.29,79,97,4.61,overcast clouds
255,Upernavik,GL,72.7868,-56.1549,-15.79,99,44,6.73,scattered clouds
256,Tual,ID,-5.6667,132.75,84.18,73,97,7.76,overcast clouds
257,Kouango,CF,4.9934,19.9619,72.66,89,99,2.84,overcast clouds
258,Longyearbyen,SJ,78.2186,15.6401,30.04,86,100,3.44,light snow
259,Buchach,UA,49.0625,25.388,46.22,97,99,6.29,overcast clouds
260,Tripoli,LY,32.8752,13.1875,60.64,87,1,5.66,clear sky
261,Gejiu,CN,23.306,103.1635,60.19,81,88,5.12,overcast clouds
262,Vanino,RU,49.0869,140.2543,39.92,66,100,10.45,overcast clouds
263,Morondava,MG,-20.2833,44.2833,78.58,71,9,6.35,clear sky
264,Vostok,RU,46.4856,135.8833,44.49,45,97,8.93,overcast clouds
265,Ostroleka,PL,53.0862,21.5757,41.94,81,93,14.29,overcast clouds
266,Husavik,IS,66.0449,-17.3389,39.96,74,100,12.73,overcast clouds
267,Baykit,RU,61.67,96.37,36.72,99,100,2.37,overcast clouds
268,Veraval,IN,20.9,70.3667,79.09,73,0,8.37,clear sky
269,Pozo Colorado,PY,-23.4923,-58.7972,59.97,59,0,7.02,clear sky
270,Evensk,RU,61.95,159.2333,28.87,76,92,2.53,overcast clouds
271,Berdigestyakh,RU,62.0989,126.6992,26.67,90,99,6.4,overcast clouds
272,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.23,63,99,15.97,overcast clouds
273,Lively,CA,46.4334,-81.1498,31.37,69,67,11.61,broken clouds
274,Karpathos,GR,35.507,27.2132,53.56,82,96,2.3,overcast clouds
275,Chitungwiza,ZW,-18.0127,31.0756,62.33,94,7,7.0,clear sky
276,Bhadrachalam,IN,17.6667,80.8833,81.73,81,96,4.72,overcast clouds
277,Chapais,CA,49.7834,-74.8492,31.78,99,100,0.85,snow
278,Dingle,PH,10.9995,122.6711,82.99,72,15,3.89,few clouds
279,Dongying,CN,37.4564,118.4856,58.69,19,40,9.46,scattered clouds
280,Surt,LY,31.2089,16.5887,64.09,81,0,3.76,clear sky
281,Daru,PG,-9.0763,143.2092,76.89,92,100,6.44,very heavy rain
282,Pisco,PE,-13.7,-76.2167,66.02,82,0,21.85,clear sky
283,Khadro,PK,26.1472,68.7176,75.24,23,0,10.27,clear sky
284,Itaituba,BR,-4.2761,-55.9836,74.23,99,100,0.56,overcast clouds
285,Luderitz,NA,-26.6481,15.1594,57.85,67,0,13.58,clear sky
286,Dudinka,RU,69.4058,86.1778,16.12,95,84,11.59,broken clouds
287,Capreol,CA,46.706,-80.9225,30.9,67,75,17.27,broken clouds
288,Mafra,BR,-26.1114,-49.8053,48.11,90,0,2.46,clear sky
289,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,9.22,overcast clouds
290,Price,US,39.5994,-110.8107,62.11,17,0,11.5,clear sky
291,Merrill,US,45.1805,-89.6835,30.67,56,100,10.36,overcast clouds
292,Marawi,PH,7.9986,124.2928,78.4,69,71,1.97,broken clouds
293,Nemsova,SK,48.967,18.1189,47.77,83,100,7.23,overcast clouds
294,Katsuura,JP,35.1333,140.3,52.25,80,100,23.11,overcast clouds
295,Hami,CN,42.8,93.45,45.09,39,47,5.08,scattered clouds
296,Maldonado,UY,-34.6667,-54.9167,57.22,92,4,3.02,clear sky
297,Lahaina,US,20.8783,-156.6825,82.4,85,94,11.27,overcast clouds
298,Kupang,ID,-10.1667,123.5833,84.72,67,36,4.25,scattered clouds
299,Abu Samrah,SY,35.3029,37.1841,53.8,52,0,5.1,clear sky
300,Iskateley,RU,67.6803,53.1512,5.88,96,35,6.31,scattered clouds
301,General Roca,AR,-39.0333,-67.5833,66.47,24,0,4.09,clear sky
302,Brae,GB,60.3964,-1.353,46.09,88,94,21.92,overcast clouds
303,Tornio,FI,65.8481,24.1466,23.02,92,99,1.43,overcast clouds
304,West Wendover,US,40.7391,-114.0733,56.41,28,75,13.8,broken clouds
305,Bantry,IE,51.6833,-9.45,51.78,95,99,4.94,overcast clouds
306,Itupiranga,BR,-5.1347,-49.3267,74.55,92,21,1.79,few clouds
307,Walvis Bay,NA,-22.9575,14.5053,57.09,82,0,5.75,clear sky
308,Hithadhoo,MV,-0.6,73.0833,82.51,69,35,2.35,scattered clouds
309,Flinders,AU,-34.5833,150.8552,77.05,78,56,5.99,broken clouds
310,Xai-Xai,MZ,-25.0519,33.6442,69.8,95,100,14.16,heavy intensity rain
311,Omboue,GA,-1.5746,9.2618,77.05,90,100,1.48,overcast clouds
312,Salalah,OM,17.0151,54.0924,78.89,83,20,2.3,few clouds
313,Olafsvik,IS,64.8945,-23.7142,45.64,84,100,30.74,overcast clouds
314,Williston,US,48.147,-103.618,24.04,68,92,5.01,overcast clouds
315,Krasnogorsk,RU,55.8225,37.3181,43.14,93,100,11.18,light rain
316,Gisborne,NZ,-38.6533,178.0042,68.13,56,0,11.56,clear sky
317,Buala,SB,-8.145,159.5921,83.37,69,100,6.6,overcast clouds
318,Taksimo,RU,56.3444,114.8794,27.45,68,91,3.36,overcast clouds
319,Gizo,SB,-8.103,156.8419,83.35,74,100,6.08,light rain
320,Airai,TL,-8.9266,125.4092,72.07,65,88,1.25,overcast clouds
321,Jerome,US,42.7241,-114.5186,45.88,49,75,11.5,broken clouds
322,Pachino,IT,36.7186,15.0907,58.24,74,16,26.84,few clouds
323,Mnogovershinnyy,RU,53.9353,139.9242,31.82,87,100,3.2,overcast clouds
324,Maningrida,AU,-12.0667,134.2667,82.98,72,90,12.12,overcast clouds
325,Vyyezdnoye,RU,55.3815,43.7864,33.93,76,100,5.73,overcast clouds
326,Ferme-Neuve,CA,46.7001,-75.4493,38.37,62,100,12.3,overcast clouds
327,Fort Morgan,US,40.2503,-103.8,48.85,27,0,12.66,clear sky
328,Lodhran,PK,29.5405,71.6336,78.64,20,0,6.93,clear sky
329,Madera,US,37.1666,-119.8343,74.19,35,98,5.73,overcast clouds
330,Onega,RU,63.9061,38.1404,25.2,92,100,3.47,overcast clouds
331,Camacha,PT,33.0833,-16.3333,58.42,82,40,5.75,scattered clouds
332,Lorengau,PG,-2.0226,147.2712,84.94,70,48,6.08,scattered clouds
333,Kirakira,SB,-10.4544,161.9205,84.9,69,62,6.06,broken clouds
334,Geraldton,AU,-28.7667,114.6,64.81,94,0,6.91,clear sky
335,Znamenskoye,RU,57.1281,73.8282,47.23,63,84,9.15,broken clouds
336,Bonfim,BR,3.0833,-59.95,75.63,81,100,2.48,overcast clouds
337,Christchurch,NZ,-43.5333,172.6333,72.95,37,100,19.57,overcast clouds
338,Yumen,CN,40.2833,97.2,38.7,27,0,24.36,clear sky
339,Igarka,RU,67.4667,86.5833,22.33,95,100,6.91,overcast clouds
340,Piney Green,US,34.716,-77.3202,64.33,45,0,11.5,clear sky
341,Kavieng,PG,-2.5744,150.7967,84.24,72,16,9.35,light rain
342,Namatanai,PG,-3.6667,152.4333,85.21,67,26,4.38,scattered clouds
343,Changping,CN,40.2186,116.2197,60.44,9,0,5.99,clear sky
344,Keetmanshoop,NA,-26.5833,18.1333,61.48,23,0,8.66,clear sky
345,Kahului,US,20.8947,-156.47,82.42,69,40,25.32,scattered clouds
346,Novikovo,RU,51.1537,37.8879,47.75,78,99,7.83,overcast clouds
347,Shimoda,JP,34.6667,138.95,53.96,86,100,13.82,overcast clouds
348,Kanker,IN,20.2719,81.4931,78.75,51,72,5.44,broken clouds
349,Inirida,CO,3.8653,-67.9239,75.27,93,91,2.89,overcast clouds
